name,population,eurozoneStatus,isEnabled
Austria,8842000,true,true
Belgium,11467923,true,true
Bulgaria,7000039,false,true
Croatia,4076246,false,true
Cyprus,875898,true,true
Czech Republic,10528984,false,true
Denmark,5799763,false,true
Estonia, 1324820,true,true
Finland,5512119,true,true
France,67028048,true,true
Germany,82940663,true,true
Greece,10722287,true,true
Hungary,9772756,false,true
Ireland,4904240,true,true
Italy,61068437,true,true
Latvia,1919968,true,true
Lithuania,2794184,true,true
Luxembourg,612179,true,true
Malta,493559,true,true
Netherlands,17423013,true,true
Poland,37972812,false,true
Portugal,10276617,true,true
Romania,19405156,false,true
Slovakia,5450421,true,true
Slovenia,2080908,true,true
Spain,46934632,true,true
Sweden,10243000,false,true